2025-09-12 14:52:41 | INFO     | root                 | Logging system initialized
2025-09-12 14:52:41 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-12 14:52:41 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-12 14:52:42 | INFO     | __main__             | Application initialized successfully
2025-09-12 15:06:58 | INFO     | root                 | Logging system initialized
2025-09-12 15:06:58 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-12 15:06:58 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-12 15:06:59 | INFO     | __main__             | Application initialized successfully
2025-09-12 15:07:37 | INFO     | root                 | Logging system initialized
2025-09-12 15:07:37 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-12 15:07:37 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-12 15:07:38 | INFO     | __main__             | Application initialized successfully
2025-09-12 15:25:39 | INFO     | root                 | Logging system initialized
2025-09-12 15:25:39 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-12 15:25:39 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-12 15:25:39 | INFO     | src.kiwoom.kiwoom_connector | Kiwoom OCX events connected
2025-09-12 15:25:39 | INFO     | src.kiwoom.kiwoom_connector | KiwoomConnector initialized
2025-09-12 15:25:39 | INFO     | src.kiwoom.kiwoom_connector | Initiating connection to Kiwoom server...
2025-09-12 15:25:41 | INFO     | src.kiwoom.kiwoom_connector | CommConnect() called successfully - login window should appear
2025-09-12 15:25:51 | ERROR    | src.kiwoom.kiwoom_connector | Kiwoom login failed or timed out
2025-09-12 15:25:51 | ERROR    | __main__             | Unable to login to Kiwoom API
2025-09-12 15:31:04 | INFO     | root                 | Logging system initialized
2025-09-12 15:31:04 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-12 15:31:04 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-12 15:31:04 | INFO     | src.kiwoom.kiwoom_connector | Kiwoom OCX events connected
2025-09-12 15:31:04 | INFO     | src.kiwoom.kiwoom_connector | KiwoomConnector initialized
2025-09-12 15:31:04 | INFO     | src.kiwoom.kiwoom_connector | Initiating connection to Kiwoom server...
2025-09-12 15:31:07 | INFO     | src.kiwoom.kiwoom_connector | CommConnect() called successfully - login window should appear
2025-09-12 15:31:16 | INFO     | src.kiwoom.kiwoom_connector | OnEventConnect received with error code: 0
2025-09-12 15:31:16 | INFO     | src.kiwoom.kiwoom_connector | Successfully connected to Kiwoom server
2025-09-12 15:31:16 | INFO     | src.kiwoom.kiwoom_connector | Login info - User: 최재현 (jac226)
2025-09-12 15:31:16 | INFO     | src.kiwoom.kiwoom_connector | Available accounts: ['5133098311', '5590332010']
2025-09-12 15:31:16 | INFO     | src.kiwoom.kiwoom_connector | Default account set to: 5133098311
2025-09-12 15:31:17 | INFO     | __main__             | Application initialized successfully
2025-09-12 16:06:56 | INFO     | root                 | Logging system initialized
2025-09-12 16:06:56 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-12 16:06:56 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-12 16:06:56 | INFO     | src.kiwoom.kiwoom_connector | Kiwoom OCX events connected
2025-09-12 16:06:56 | INFO     | src.kiwoom.kiwoom_connector | KiwoomConnector initialized
2025-09-12 16:06:56 | INFO     | src.kiwoom.kiwoom_connector | Initiating connection to Kiwoom server...
2025-09-12 16:06:58 | INFO     | src.kiwoom.kiwoom_connector | CommConnect() called successfully - login window should appear
2025-09-12 16:07:08 | ERROR    | src.kiwoom.kiwoom_connector | Kiwoom login failed or timed out
2025-09-12 16:07:08 | ERROR    | __main__             | Unable to login to Kiwoom API
